净值日期,单位净值,日增长率
2012-05-04,1.007,0.0
2012-05-11,2.637,-2.8606
2012-05-18,2.574,-2.3891
2012-05-21,2.588,0.5439
2012-05-25,2.574,-0.541
2012-05-28,2.615,1.5929
2012-05-29,2.652,1.4149
2012-05-30,2.643,-0.3394
2012-05-31,2.635,-0.3027
2012-06-01,2.636,0.038
2012-06-04,2.563,-2.7693
2012-06-05,2.563,0.0
2012-06-06,2.562,-0.039
2012-06-07,2.55,-0.4684
2012-06-08,2.533,-0.6667
2012-06-11,2.568,1.3818
2012-06-12,2.551,-0.662
2012-06-13,2.592,1.6072
2012-06-14,2.574,-0.6944
2012-06-15,2.583,0.3497
2012-06-18,2.596,0.5033
2012-06-19,2.574,-0.8475
2012-06-20,2.57,-0.1554
2012-06-21,2.531,-1.5175
2012-06-25,2.478,-2.094
2012-06-26,2.481,0.1211
2012-06-27,2.473,-0.3225
2012-06-28,2.452,-0.8492
2012-06-29,2.487,1.4274
2012-06-30,2.487,0.0
2012-07-02,2.492,0.201
2012-07-03,2.495,0.1204
2012-07-04,2.492,-0.1202
2012-07-05,2.46,-1.2841
2012-07-06,2.503,1.748
2012-07-09,2.447,-2.2373
2012-07-10,2.438,-0.3678
2012-07-11,2.457,0.7793
2012-07-12,2.481,0.9768
2012-07-13,2.483,0.0806
2012-07-16,2.433,-2.0137
2012-07-17,2.447,0.5754
2012-07-18,2.447,0.0
2012-07-19,2.458,0.4495
2012-07-20,2.432,-1.0578
2012-07-23,2.399,-1.3569
2012-07-24,2.409,0.4168
2012-07-25,2.393,-0.6642
2012-07-26,2.381,-0.5015
2012-07-27,2.383,0.084
2012-07-30,2.37,-0.5455
2012-07-31,2.367,-0.1266
2012-08-01,2.393,1.0984
2012-08-02,2.37,-0.9611
2012-08-03,2.39,0.8439
2012-08-06,2.422,1.3389
2012-08-07,2.425,0.1239
2012-08-08,2.427,0.0825
2012-08-09,2.449,0.9065
2012-08-10,2.437,-0.49
2012-08-13,2.389,-1.9696
2012-08-14,2.395,0.2512
2012-08-15,2.369,-1.0856
2012-08-16,2.357,-0.5065
2012-08-17,2.351,-0.2546
2012-08-20,2.339,-0.5104
2012-08-21,2.351,0.513
2012-08-22,2.333,-0.7656
2012-08-23,2.339,0.2572
2012-08-24,2.312,-1.1543
2012-08-27,2.264,-2.0761
2012-08-28,2.274,0.4417
2012-08-29,2.251,-1.0114
2012-08-30,2.247,-0.1777
2012-08-31,2.24,-0.3115
2012-09-03,2.265,1.1161
2012-09-04,2.241,-1.0596
2012-09-05,2.236,-0.2231
2012-09-06,2.255,0.8497
2012-09-07,2.355,4.4346
2012-09-10,2.364,0.3822
2012-09-11,2.349,-0.6345
2012-09-12,2.358,0.3831
2012-09-13,2.336,-0.933
2012-09-14,2.353,0.7277
2012-09-17,2.296,-2.4224
2012-09-18,2.272,-1.0453
2012-09-19,2.283,0.4842
2012-09-20,2.232,-2.2339
2012-09-21,2.235,0.1344
2012-09-24,2.252,0.7606
2012-09-25,2.246,-0.2664
2012-09-26,2.221,-1.1131
2012-09-27,2.288,3.0167
2012-09-28,2.33,1.8357
2012-09-30,2.33,0.0
2012-10-08,2.306,-1.03
2012-10-09,2.357,2.2116
2012-10-10,2.361,0.1697
2012-10-11,2.339,-0.9318
2012-10-12,2.341,0.0855
2012-10-15,2.331,-0.4272
2012-10-16,2.334,0.1287
2012-10-17,2.337,0.1285
2012-10-18,2.373,1.5404
2012-10-19,2.369,-0.1686
2012-10-22,2.378,0.3799
2012-10-23,2.348,-1.2616
2012-10-24,2.344,-0.1704
2012-10-25,2.327,-0.7253
2012-10-26,2.283,-1.8908
2012-10-29,2.271,-0.5256
2012-10-30,2.275,0.1761
2012-10-31,2.29,0.6593
2012-11-01,2.334,1.9214
2012-11-02,2.343,0.3856
2012-11-05,2.338,-0.2134
2012-11-06,2.328,-0.4277
2012-11-07,2.323,-0.2148
2012-11-08,2.281,-1.808
2012-11-09,2.276,-0.2192
2012-11-12,2.287,0.4833
2012-11-13,2.247,-1.749
2012-11-14,2.258,0.4895
2012-11-15,2.228,-1.3286
2012-11-16,2.212,-0.7181
2012-11-19,2.209,-0.1356
2012-11-20,2.199,-0.4527
2012-11-21,2.229,1.3643
2012-11-22,2.212,-0.7627
2012-11-23,2.227,0.6781
2012-11-26,2.209,-0.8083
2012-11-27,2.184,-1.1317
2012-11-28,2.162,-1.0073
2012-11-29,2.149,-0.6013
2012-11-30,2.173,1.1168
2012-12-03,2.142,-1.4266
2012-12-04,2.165,1.0738
2012-12-05,2.242,3.5566
2012-12-06,2.238,-0.1784
2012-12-07,2.281,1.9214
2012-12-10,2.306,1.096
2012-12-11,2.293,-0.5637
2012-12-12,2.302,0.3925
2012-12-13,2.277,-1.086
2012-12-14,2.391,5.0066
2012-12-17,2.402,0.4601
2012-12-18,2.371,0.0833
2012-12-19,2.374,0.1265
2012-12-20,2.387,0.5476
2012-12-21,2.374,-0.5446
2012-12-24,2.383,0.3791
2012-12-25,2.45,2.8116
2012-12-26,2.46,0.4082
2012-12-27,2.447,-0.5285
2012-12-28,2.482,1.4303
2012-12-31,2.525,1.7325
2013-01-04,2.527,0.0792
2013-01-07,2.5381,0.4393
2013-01-08,2.5276,-0.4137
2013-01-09,2.5283,0.0277
2013-01-10,2.5328,0.178
2013-01-11,2.4856,-1.8636
2013-01-14,2.5797,3.7858
2013-01-15,2.5977,0.6978
2013-01-16,2.5791,-0.716
2013-01-17,2.5547,-0.9461
2013-01-18,2.5974,1.6714
2013-01-21,2.6128,0.5929
2013-01-22,2.5989,-0.532
2013-01-23,2.6096,0.4117
2013-01-24,2.5847,-0.9542
2013-01-25,2.5737,-0.4256
2013-01-28,2.6533,3.0928
2013-01-29,2.6767,0.8819
2013-01-30,2.6892,0.467
2013-01-31,2.6873,-0.0707
